MASCARA,NOM_ESCOLA,CO_ESCOLA,MENSALIDADE,NUM_ALUNOS,Media_MEDIA_GLOBAL,DP_MEDIA_GLOBAL,Media_MEDIA_OBJETIVAS,DP_MEDIA_OBJETIVAS,Media_NU_NOTA_REDACAO,DP_NU_NOTA_REDACAO,NUM_CURSOS_COBERTOS,TAXA_COBERTURA_PCT,CUSTO_POR_PONTO_COBERTURA,ESFORCO_FINANC_MENSAL_POR_PONTO,ESFORCO_FINANC_ANUAL_POR_10PONTOS,FONTE
escola1,COL JOAO PAULO I - UNIDADE SUL,43173330,2822.87,37,719.74,57.38,681.84,57.55,871.35,75.5,3489,83.55,33.79,13.99,1678.5,Conforme resposta ao email
escola2,COL JOAO PAULO I HIGI,43238203,2822.87,34,706.98,48.65,675.48,42.07,832.94,107.97,3248,77.78,36.29,14.93,1791.8,Conforme resposta ao email
escola3,COL LEONARDO DA VINCI-ALFA,43172423,3200.0,55,679.82,70.07,639.96,68.13,839.27,110.75,2610,62.5,51.2,19.77,2371.9,Familiar
escola4,COL FARROUPILHA,43104975,3742.2,170,664.73,54.7,623.35,54.31,830.24,95.37,2220,53.16,70.4,25.49,3058.9,Scraping do maior valor de mensalidade do site https://schooladvisor.com.br/
escola5,COL LEONARDO DA VINCI- BETA,43172440,3261.82,64,664.6,64.28,620.99,64.7,839.06,87.46,2219,53.14,61.38,22.24,2668.6,Scraping do maior valor de mensalidade do site https://schooladvisor.com.br/
escola6,COL MARISTA NOSSA SENHORA DO ROSARIO,43108164,3208.0,210,665.85,59.95,629.69,57.02,810.48,106.0,2245,53.76,59.67,21.69,2602.4,Scraping do maior valor de mensalidade do site https://schooladvisor.com.br/
escola7,COL LA SALLE SANTO ANTONIO,43105084,2240.0,99,657.42,51.19,611.68,53.34,840.4,94.37,2040,48.85,45.85,16.06,1926.9,Conforme resposta ao email
escola8,COL ISRAELITA BRASILEIRO,43104983,4500.0,49,639.18,51.89,595.51,57.53,813.88,83.29,1640,39.27,114.59,37.11,4453.4,Familiar
escola9,COL ANCHIETA,43104924,3000.0,198,657.27,53.66,616.74,54.43,819.39,96.09,2038,48.8,61.48,21.53,2583.5,https://www.COLanchieta.g12.br/wp-content/uploads/2025/01/Edital-mensalidades-2025.pdf
escola10,COL PASTOR DOHMS-UNIDADE,43107494,3700.0,85,641.09,49.58,605.66,46.5,782.82,106.91,1678,40.18,92.09,30.04,3604.9,Familiar
escola11,COL MAE DE DEUS,43107419,2668.0,27,656.03,46.25,599.48,50.93,882.22,61.85,2008,48.08,55.49,19.32,2318.2,Scraping do maior valor de mensalidade do site https://schooladvisor.com.br/  e resposta ao email
escola12,COL SINODAL DO SALVADOR,43105670,2280.0,60,658.47,58.26,613.93,54.03,836.67,112.24,2068,49.52,46.04,16.22,1946.7,Scraping do maior valor de mensalidade do site https://schooladvisor.com.br/
escola13,COL LA SALLE SAO JOAO,43105106,2240.0,51,643.48,56.79,605.72,48.75,794.51,118.19,1743,41.74,53.67,17.84,2140.9,Conforme resposta ao email
escola14,COL PROVINCIA DE SAO PEDRO,43108423,3048.3,52,648.24,60.52,605.87,56.22,817.69,115.45,1838,44.01,69.26,23.39,2807.0,Scraping do maior valor de mensalidade do site https://schooladvisor.com.br/
escola15,COL JOAO XXIII,43107575,2800.0,50,629.32,66.52,591.55,63.29,780.4,111.57,1414,33.86,82.69,25.14,3016.3,Familiar
escola16,COL NOSSA SENHORA DO BOM CONSELHO,43105017,2172.0,44,640.98,70.26,612.13,58.92,756.36,133.59,1675,40.11,54.15,17.65,2118.1,Scraping do maior valor de mensalidade do site https://schooladvisor.com.br/
escola17,COL MONTEIRO LOBATO - ESC EDUC BASICA,43109330,3879.9,34,628.32,66.35,598.34,59.33,748.24,165.89,1394,33.38,116.23,35.15,4217.4,Scraping do maior valor de mensalidade do site https://schooladvisor.com.br/
escola18,COL SANTA INES,43105068,2900.0,62,623.96,58.06,590.43,59.66,758.06,95.93,1303,31.2,92.95,27.35,3281.9,Familiar
escola19,COL UNIVERSITARIO,43200273,2280.0,18,639.77,73.99,610.55,73.66,756.67,135.69,1653,39.58,57.6,18.71,2245.5,Scraping do maior valor de mensalidade do site https://schooladvisor.com.br/
escola20,COL MARISTA CHAMPAGNAT,43104959,2052.0,72,627.63,58.45,585.09,57.03,797.78,102.51,1378,33.0,62.18,18.7,2244.6,Scraping do maior valor de mensalidade do site https://schooladvisor.com.br/
escola21,COL LA SALLE DORES,43105033,2240.0,26,618.36,57.21,588.33,52.82,738.46,100.23,1173,28.09,79.74,22.3,2676.3,Conforme resposta ao email
escola22,COL METODISTA AMERICANO,43107524,2329.02,19,615.77,66.72,592.08,51.9,710.53,199.71,1127,26.99,86.29,23.8,2856.4,Scraping do maior valor de mensalidade do site https://schooladvisor.com.br/
escola23,COL SALESIANO DOM BOSCO,43107370,2200.0,65,606.02,64.07,568.53,60.15,756.0,118.38,954,22.84,96.32,24.97,2996.7,https://salesianoportoalegre.com.br/wp-content/uploads/2025/11/GUIA-INFORMATIVO-2026-ATUALIZADO.pdf
benchmark,AGLOMERADO ESCOLAS PÚBLICAS,0,0.0,2523,517.92,68.08,500.49,70.08,587.65,178.91,99,2.37,0.0,0.0,0.0,Dataset Aglomerado Escolas Públicas
